Activity Type,Distance,Calories,Avg HR,Avg Speed,Elev Gain,Elev Loss,Avg Bike Cadence,Duration(min)
indoor_cycling,9.8,281.0,135.0,16.4,337.4,331.6,84.0,2150.0
indoor_cycling,27.1,914.0,157.0,16.4,337.4,331.6,83.0,99.3
indoor_cycling,7.11,164.0,109.0,13.7,337.4,331.6,85.0,1861.0
cycling,1.67,38.0,150.2,10.2,102.0,95.0,71.0,9.8
cycling,18.59,581.0,150.2,22.1,190.0,174.0,93.0,3022.0
cycling,0.92,28.0,150.2,18.2,13.0,16.0,86.0,3.0
cycling,0.01,127.0,150.2,0.0,337.4,331.6,91.0,16.4
cycling,1.79,30.0,127.0,9.5,39.0,167.0,71.0,11.3
cycling,43.23,1406.0,172.0,18.5,2946.0,2772.0,92.0,139.9
cycling,1.62,48.0,117.0,14.0,89.0,85.0,86.0,7.0
indoor_cycling,10.66,288.0,133.0,16.5,36.0,52.0,90.0,2323.0
indoor_cycling,16.84,427.0,132.0,15.3,337.4,331.6,88.0,66.0
cycling,15.35,458.0,150.0,17.8,337.4,331.6,83.0,3097.0
cycling,0.78,11.0,130.0,6.9,7.0,3.0,77.0,6.8
cycling,16.35,509.0,178.0,22.4,89.0,75.0,92.0,2631.0
cycling,2.99,72.0,150.0,14.3,16.0,16.0,80.0,12.6
cycling,0.0,64.0,135.0,0.0,337.4,331.6,87.0,10.5
cycling,42.25,965.0,168.0,21.3,1155.0,1096.0,87.0,118.9
cycling,0.14,3.0,149.0,12.8,337.4,331.6,80.0,0.7
indoor_cycling,0.0,46.0,140.0,15.4,337.4,331.6,86.0,8.4
indoor_cycling,15.04,292.0,150.2,20.4,337.4,331.6,91.0,2657.0
indoor_cycling,21.33,687.0,150.2,15.3,3.0,7.0,83.0,83.6
indoor_cycling,15.96,552.0,150.2,17.2,337.4,331.6,83.0,3348.0
indoor_cycling,26.5,641.0,121.0,14.3,7.0,10.0,83.0,111.3
cycling,51.09,1224.0,151.0,19.4,522.0,522.0,87.0,157.7
cycling,1.88,40.0,125.0,11.6,3.0,10.0,83.0,9.7
cycling,2.7,50.0,123.0,13.9,13.0,16.0,81.0,11.6
cycling,28.8,667.0,157.0,20.4,89.0,102.0,87.0,84.6
cycling,14.65,362.0,134.0,14.4,59.0,43.0,80.0,60.9
cycling,28.94,754.0,148.0,18.4,108.0,141.0,84.0,94.2
cycling,81.01,1848.0,143.0,18.4,2028.0,1955.0,82.0,263.9
cycling,98.94,2322.0,150.0,18.9,2562.0,2507.0,84.0,313.4
cycling,81.35,1928.0,153.0,18.8,2264.0,2192.0,86.0,260.0
cycling,14.74,353.0,144.0,16.0,236.0,249.0,85.0,3308.0
cycling,70.37,1770.0,154.0,15.7,1939.0,1860.0,83.0,269.0
cycling,19.79,754.0,131.0,9.7,367.0,367.0,83.0,122.2
indoor_cycling,15.78,537.0,155.0,15.5,337.4,331.6,83.0,61.0
indoor_cycling,17.7,502.0,148.0,13.9,337.4,3.0,84.0,76.5
indoor_cycling,47.46,1054.0,140.0,22.3,337.4,331.6,87.0,128.0
indoor_cycling,24.39,1112.0,153.0,12.2,337.4,331.6,87.0,120.2
indoor_cycling,26.1,820.0,153.0,15.6,3.0,331.6,83.0,100.2
indoor_cycling,28.14,924.0,164.0,16.1,337.4,331.6,83.0,105.1
cycling,30.47,1122.0,150.2,13.9,337.4,331.6,87.0,131.6
cycling,43.59,1202.0,147.0,17.0,285.0,236.0,84.0,153.5
cycling,29.15,688.0,145.0,16.2,285.0,285.0,85.0,107.8
indoor_cycling,24.09,751.0,159.0,17.5,337.4,7.0,85.0,82.7
indoor_cycling,10.09,337.0,136.0,12.6,337.4,331.6,83.0,2883.0
indoor_cycling,30.23,936.0,163.0,17.3,7.0,331.6,88.0,105.0
cycling,15.14,460.0,150.2,10.3,115.0,121.0,83.0,88.3
indoor_cycling,14.45,767.0,149.0,9.8,337.4,331.6,83.0,88.2
indoor_cycling,11.69,489.0,148.0,11.4,3.0,331.6,83.0,61.7
indoor_cycling,15.19,484.0,153.0,15.6,337.4,331.6,83.0,3496.0
indoor_cycling,24.28,773.0,157.0,16.8,337.4,331.6,86.0,86.6
indoor_cycling,17.84,537.0,148.0,17.1,337.4,331.6,83.0,62.7
indoor_cycling,15.48,375.0,126.0,15.1,337.4,331.6,83.0,61.6
indoor_cycling,21.88,677.0,176.0,20.7,337.4,331.6,83.0,63.3
indoor_cycling,20.88,367.0,136.0,22.0,337.4,331.6,89.0,3421.0
indoor_cycling,27.02,855.0,161.0,14.8,337.4,331.6,84.0,109.6
indoor_cycling,36.15,1188.0,151.0,15.1,16.0,23.0,83.0,143.9
indoor_cycling,1.6,21.0,129.0,14.1,337.4,331.6,83.0,6.8
indoor_cycling,18.05,481.0,153.0,17.9,337.4,3.0,83.0,60.4
indoor_cycling,10.5,309.0,146.0,16.0,337.4,331.6,83.0,2362.0
indoor_cycling,12.48,355.0,149.0,15.0,337.4,331.6,89.0,3005.0
indoor_cycling,18.53,389.0,135.0,17.3,337.4,331.6,83.0,64.2
indoor_cycling,32.69,907.0,163.0,19.0,337.4,331.6,83.0,103.0
indoor_cycling,11.12,238.0,120.0,15.6,337.4,331.6,83.0,2565.0
indoor_cycling,43.07,1005.0,148.0,18.2,10.0,3.0,83.0,142.0
indoor_cycling,15.45,390.0,158.0,18.4,16.0,26.0,83.0,3016.0
indoor_cycling,26.84,742.0,155.0,20.2,337.4,331.6,83.0,79.6
cycling,81.24,2432.0,143.0,14.5,597.0,571.0,84.0,336.7
cycling,87.27,2442.0,152.0,16.1,974.0,830.0,87.0,324.3
cycling,11.14,390.0,145.0,13.2,56.0,52.0,83.0,3044.0
indoor_cycling,13.65,470.0,156.0,13.6,3.0,331.6,91.0,60.0
cycling,32.1,924.0,150.0,16.3,92.0,82.0,86.0,118.5
cycling,10.33,337.0,132.0,11.8,62.0,72.0,83.0,3152.0
cycling,16.14,505.0,147.0,16.1,39.0,56.0,89.0,60.4
cycling,36.21,1080.0,144.0,16.9,230.0,217.0,89.0,128.5
cycling,37.2,1143.0,156.0,17.7,240.0,223.0,89.0,126.0
indoor_cycling,19.44,494.0,147.0,17.9,337.4,331.6,89.0,65.3
cycling,90.28,2293.0,161.0,18.1,755.0,801.0,87.0,300.0
indoor_cycling,33.86,945.0,171.0,20.1,337.4,331.6,90.0,101.2
indoor_cycling,6.4,144.0,139.0,13.2,337.4,331.6,86.0,1749.0
cycling,59.3,1437.0,157.0,18.8,302.0,289.0,90.0,189.1
cycling,5.53,322.0,180.0,11.5,154.0,148.0,83.0,1731.0
cycling,2.7,220.0,165.0,7.5,59.0,59.0,83.0,21.7
indoor_cycling,13.97,597.0,162.0,12.8,337.4,13.0,88.0,65.2
indoor_cycling,5.64,143.0,123.0,11.2,337.4,331.6,83.0,1808.0
indoor_cycling,32.15,982.0,168.0,17.7,337.4,331.6,84.0,108.7
indoor_cycling,5.27,127.0,108.0,10.0,337.4,331.6,80.0,1890.0
cycling,49.6,1194.0,139.0,17.0,1224.0,1184.0,87.0,174.7
indoor_cycling,15.65,430.0,153.0,15.5,337.4,331.6,84.0,60.4
indoor_cycling,0.56,10.0,156.0,10.9,337.4,331.6,77.0,3.1
indoor_cycling,45.72,1360.0,176.0,18.9,337.4,331.6,94.0,144.8
cycling,20.53,492.0,157.0,16.2,190.0,184.0,89.0,76.2
indoor_cycling,15.73,479.0,155.0,15.7,337.4,331.6,91.0,60.0
indoor_cycling,11.22,351.0,149.0,14.3,337.4,331.6,89.0,2824.0
indoor_cycling,13.08,377.0,149.0,12.5,337.4,331.6,86.0,62.8
indoor_cycling,16.3,478.0,144.0,15.8,337.4,331.6,88.0,62.0
indoor_cycling,14.62,478.0,157.0,15.2,337.4,331.6,85.0,3456.0
indoor_cycling,13.38,463.0,147.0,15.3,337.4,331.6,87.0,3143.0
indoor_cycling,20.8,685.0,159.0,15.0,337.4,331.6,92.0,83.0
cycling,10.07,1003.0,135.0,3.9,725.0,787.0,83.0,156.5
cycling,61.64,1554.0,158.0,17.5,676.0,600.0,90.0,211.7
indoor_cycling,13.09,454.0,160.0,13.6,337.4,3.0,86.0,3455.0
indoor_cycling,18.86,701.0,170.0,14.7,337.4,331.6,93.0,76.9
cycling,8.68,271.0,150.2,10.7,62.0,46.0,83.0,2926.0
cycling,58.77,1582.0,162.0,19.0,285.0,269.0,91.0,185.6
indoor_cycling,23.37,756.0,158.0,15.4,337.4,331.6,90.0,90.8
cycling,36.88,936.0,146.0,18.9,213.0,203.0,91.0,117.2
indoor_cycling,134.36,3161.0,143.0,14.8,33.0,23.0,88.0,545.2
indoor_cycling,1.92,44.0,122.0,7.4,337.4,13.0,75.0,15.6
indoor_cycling,2.24,50.0,131.0,11.6,337.4,331.6,79.0,11.6
indoor_cycling,18.2,561.0,164.0,17.2,337.4,331.6,86.0,63.4
indoor_cycling,27.32,832.0,171.0,17.1,337.4,13.0,84.0,95.7
indoor_cycling,19.16,516.0,127.0,12.6,13.0,331.6,81.0,91.1
cycling,0.3,8.0,131.0,6.3,337.4,331.6,74.0,2.8
cycling,39.63,975.0,171.0,19.8,404.0,404.0,88.0,120.2
cycling,0.1,385.0,150.2,0.1,337.4,331.6,76.0,62.1
cycling,38.47,1129.0,150.2,15.1,3675.0,3652.0,88.0,152.8
cycling,33.09,1294.0,150.2,16.9,177.0,161.0,91.0,117.7
cycling,3.75,238.0,177.0,10.4,184.0,184.0,83.0,21.7
cycling,1.83,229.0,131.0,3.0,30.0,33.0,83.0,2178.0
cycling,7.01,430.0,180.0,10.0,348.0,341.0,83.0,2513.0
cycling,5.41,350.0,183.0,10.8,253.0,256.0,83.0,1809.0
cycling,0.29,63.0,146.0,2.4,7.0,331.6,83.0,7.3
cycling,4.13,303.0,162.0,8.2,246.0,236.0,83.0,1805.0
cycling,7.08,381.0,151.0,8.7,62.0,36.0,83.0,2920.0
cycling,58.86,1502.0,151.0,18.2,249.0,246.0,92.0,194.1
cycling,2.09,162.0,163.0,7.8,52.0,56.0,83.0,16.1
cycling,4.76,331.0,188.0,10.4,141.0,148.0,83.0,1646.0
cycling,0.95,60.0,181.0,10.7,30.0,33.0,83.0,5.3
cycling,2.55,72.0,150.2,9.2,82.0,79.0,83.0,16.5
cycling,8.53,313.0,119.0,8.2,16.0,20.0,83.0,62.5
virtual_ride,9.76,263.0,131.0,21.7,337.4,331.6,88.0,1621.0
virtual_ride,12.33,359.0,136.0,20.6,337.4,331.6,88.0,2152.0
virtual_ride,5.92,283.0,154.0,14.8,1950.0,937.0,92.0,24.0
virtual_ride,6.62,138.0,142.0,14.6,337.4,331.6,79.0,1631.0
virtual_ride,18.71,586.0,167.0,20.2,337.4,331.6,83.0,3337.0
virtual_ride,1.99,78.0,128.0,6.2,337.4,331.6,47.0,19.3
cycling,26.32,714.0,153.0,18.3,337.4,331.6,93.0,86.2
cycling,20.6,635.0,170.0,19.7,217.0,233.0,94.0,62.8
indoor_cycling,0.0,613.9,90.0,15.4,337.4,331.6,83.0,0.0
indoor_cycling,19.45,454.0,136.0,18.6,337.4,331.6,90.0,62.7
indoor_cycling,20.97,427.0,128.0,16.2,337.4,331.6,91.0,77.8
indoor_cycling,17.07,552.0,152.0,15.0,337.4,331.6,88.0,68.3
indoor_cycling,0.0,189.0,138.0,15.4,337.4,331.6,96.0,1738.0
cycling,37.18,1509.0,150.2,14.0,1795.0,1850.0,88.0,158.9
